paper_key,arxiv_id,doi,title,authors,year,venue,citation_count,tier,review_source,corpus,contribution_type,method_name,peft_technique,distribution_mechanism,thesis_sections,contribution_codes,datasets,metrics,key_finding,notes_raw,source
2310.18339,2310.18339,10.48550/arXiv.2310.18339,MOELoRA: An MOE-based Parameter Efficient Fine-Tuning Method for Multi-task Medical Applications,Qidong Liu; Xian Wu; Xiangyu Zhao; Yuanshao Zhu; Derong Xu; Feng Tian; Yefeng Zheng,2023,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,144,2,fulltext,core,MoE-adapter-routing,,LoRA; MoE-adapters,none,§7.x,,,,MOELoRA: MoE+LoRA for multi-task medical NLP,MOELoRA: MoE+LoRA for multi-task medical NLP; contrastive routing encourages expert specialisation. §7.x,ARXIV
10.1145/3626772.3657722,,10.1145/3626772.3657722,When MOE Meets LLMs: Parameter Efficient Fine-tuning for Multi-task Medical Applications,"Liu Q., Wu X., Zhao X., Zhu Y., Xu D., Tian F., Zheng Y.",2023,Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval,138,2,abstract-2nd-pass,core,MoE-adapter-routing,,LoRA; MoE-adapters,none,§7.x,,,,MoE + PEFT for multi-task medical LLM applications,§7.x MoE + PEFT for multi-task medical LLM applications,SCOPUS
2306.05406,2306.05406,10.48550/arXiv.2306.05406,Mixture-of-Domain-Adapters: Decoupling and Injecting Domain Knowledge to Pre-trained Language Models’ Memories,Shizhe Diao; Tianyang Xu; Ruijia Xu; Jiawei Wang; Tong Zhang,2023,Annual Meeting of the Association for Computational Linguistics,53,2,fulltext,core,MoE-adapter-routing,,MoE-adapters,none,§7.x; §4.x,,,,MixDA: MoE gate fuses parallel domain adapters,MixDA: MoE gate fuses parallel domain adapters; two-stage domain+task tuning. §7.x/§4.x,ARXIV
2210.17451,2210.17451,10.48550/arXiv.2210.17451,AdaMix: Mixture-of-Adaptations for Parameter-efficient Model Tuning,"Wang Y., Agarwal S., Mukherjee S., Liu X., Gao J., Awadallah A.H., Gao J.",2022,ArXiv,180,2,abstract-2nd-pass,core,MoE-adapter-routing,,LoRA; Houlsby-adapter; MoE-adapters,none,§4.x; §7.x,,,,AdaMix: mixture-of-adaptations PEFT (MoE-style adapter composition),§4.x §7.x AdaMix: mixture-of-adaptations PEFT (MoE-style adapter composition),SCOPUS
2405.11157,2405.11157,10.48550/arXiv.2405.11157,Towards Modular LLMs by Building and Reusing a Library of LoRAs,"Ostapenko O., Su Z., Ponti E.M., Charlin L., Le Roux N., Caccia L., Sordoni A.",2024,International Conference on Machine Learning,64,1,fulltext,core,adapter-routing,,LoRA,none,§4.3,★A1; ★R1,,,LoRA library: MBC clustering + Arrow zero-shot routing,LoRA library: MBC clustering + Arrow zero-shot routing; modular LLM via adapter reuse. §4.3 ★A1 ★R1,SCOPUS
2402.05859,2402.05859,10.48550/arXiv.2402.05859,Learning to Route Among Specialized Experts for Zero-Shot Generalization,"Muqeeth M., Liu H., Liu Y., Raffel C.",2024,International Conference on Machine Learning,61,2,fulltext,core,adapter-routing,,generic-PEFT,none,§7.x,★A1; ★R1,,,PHATGOOSE: post-hoc tokenwise gating over expert collection,PHATGOOSE: post-hoc tokenwise gating over expert collection; zero-shot routing. §7.x ★A1 ★R1,SCOPUS
2307.13269,2307.13269,10.48550/arXiv.2307.13269,LoraHub: Efficient Cross-Task Generalization via Dynamic LoRA Composition,Chengsong Huang; Qian Liu; Bill Yuchen Lin; Tianyu Pang; Chao Du; Min Lin,2023,ArXiv,318,1,fulltext,core,adapter-routing,,LoRA,none,§4.3,★S1; ★A1,,,LoraHub: gradient-free LoRA composition across tasks,LoraHub: gradient-free LoRA composition across tasks; shared module platform vision. §4.3 ★S1 ★A1,ARXIV
10.52202/075280-2488,,10.52202/075280-2488,Multi-Head Adapter Routing for Cross-Task Generalization,"Caccia L., Ponti E., Su Z., Pereira M., Le Roux N., Sordoni A.",2022,Advances in Neural Information Processing Systems 36,35,3,abstract-2nd-pass,core,adapter-routing,,generic-PEFT,none,§4.x; §7.x,,,,multi-head adapter routing for cross-task generalization,§4.x §7.x multi-head adapter routing for cross-task generalization,SCOPUS
10.18653/v1/2021.emnlp-main.495,,10.18653/v1/2021.emnlp-main.495,Single-dataset Experts for Multi-dataset Question Answering,"Friedman D., Dodge B., Chen D.",2021,Conference on Empirical Methods in Natural Language Processing,26,2,fulltext,core,adapter-routing,,Houlsby-adapter,none,§4.x; §7.x,,,,MADE: single-task adapter experts + parameter averaging for zero-shot transfer,MADE: single-task adapter experts + parameter averaging for zero-shot transfer. §4.x/§7.x,SCOPUS
10.1016/j.neunet.2026.108912,,10.1016/j.neunet.2026.108912,SEA: Hierarchically searching efficient adapters for pre-trained models,"Lu S., Mao F., Chen J., Mei J., Min C., Xing Y., Hu Y.",2026,Neural Networks,0,3,abstract-2nd-pass,core,adapter-composition,,generic-PEFT,none,§4.x,,,,SEA: hierarchical search for efficient adapters in pre-trained models,§4.x SEA: hierarchical search for efficient adapters in pre-trained models,SCOPUS
10.18653/v1/2025.acl-short.54,,10.18653/v1/2025.acl-short.54,GenKnowSub: Improving Modularity and Reusability of LLMs through General Knowledge Subtraction,"Bagherifard M., Rajabi S., Edalat A., Yaghoobzadeh Y.",2025,Proceedings of the Annual Meeting of the Association for Computational Linguistics,,G_SNOW_F,fulltext,core,adapter-composition,,LoRA,none,§4.3,★A1; ★R1,,,GenKnowSub: general-domain LoRA subtraction + Arrow routing for cleaner task-specific modules,GenKnowSub: general-domain LoRA subtraction + Arrow routing for cleaner task-specific modules. §4.3 ★A1 ★R1,SCOPUS
2402.09997,2402.09997,10.48550/arXiv.2402.09997,LoraRetriever: Input-Aware LoRA Retrieval and Composition for Mixed Tasks in the Wild,"Zhao Z., Gan L., Wang G., Zhou W., Yang H., Kuang K., Wu F.",2024,Annual Meeting of the Association for Computational Linguistics,64,1,fulltext,core,adapter-composition,,LoRA,none,§4.3,★A1; ★S1,,,LoraRetriever: retrieve-then-compose framework with dynamic LoRA pool and heterogeneous batching,LoraRetriever: retrieve-then-compose framework with dynamic LoRA pool and heterogeneous batching. §4.3 ★A1 ★S1,SCOPUS
10.18653/v1/2023.findings-acl.75,,10.18653/v1/2023.findings-acl.75,Client-Customized Adaptation for Parameter-Efficient Federated Learning,"Kim Y., Kim J., Mok W.-L., Park J.-H., Lee S.",2024,Annual Meeting of the Association for Computational Linguistics,26,1,fulltext,core,adapter-composition,,hypernetwork,federated,§6.x,★M2,,,C2A: hypernetwork generates client-specific adapters,C2A: hypernetwork generates client-specific adapters; handles label+language heterogeneity. §6.x ★M2,SCOPUS
2402.09353,2402.09353,10.48550/arXiv.2402.09353,DoRA: Weight-Decomposed Low-Rank Adaptation,"Liu S.-Y., Wang C.-Y., Yin H., Molchanov P., Wang Y.-C.F., Cheng K.-T., Chen M.-H.",2024,International Conference on Machine Learning,730,2,fulltext,core,adapter-composition,,LoRA,none,§3.4,,,,DoRA: magnitude+direction decomposition for LoRA,DoRA: magnitude+direction decomposition for LoRA; better learning capacity. §3.4,SCOPUS
2404.08417,2404.08417,10.48550/arXiv.2404.08417,AdapterSwap: Continuous Training of LLMs with Data Removal and Access-Control Guarantees,"Fleshman W., Van Durme B.",2024,CAMLIS,12,3,fulltext,core,adapter-composition,,generic-PEFT,none,§4.x,★A1,,,AdapterSwap: dynamic adapter composition for continual learning + data removal guarantees,AdapterSwap: dynamic adapter composition for continual learning + data removal guarantees. §4.x ★A1,SCOPUS
2310.17513,2310.17513,10.48550/arXiv.2310.17513,The Expressive Power of Low-Rank Adaptation,"Zeng Y., Lee K.",2023,International Conference on Learning Representations,113,2,fulltext,core,adapter-composition,,LoRA,none,§3.3,★T2,,,Expressive Power of LoRA: rank-width-depth bounds,Expressive Power of LoRA: rank-width-depth bounds; theoretical foundation for ★T2. §3.3,SCOPUS
2311.11077,2311.11077,10.48550/arXiv.2311.11077,Adapters: A Unified Library for Parameter-Efficient and Modular Transfer Learning,"Poth C., Sterz H., Paul I., Purkayastha S., Engländer L., Imhof T., Vulić I., Ruder S., Gurevych I., Pfeiffer J.",2023,Conference on Empirical Methods in Natural Language Processing,82,2,fulltext,core,adapter-composition,,generic-PEFT,none,§4.x,★A1; ★S1,,,Adapters library: 10 adapter methods in unified interface with composition blocks,Adapters library: 10 adapter methods in unified interface with composition blocks. §4.x ★A1/★S1,SCOPUS
2310.11670,2310.11670,10.48550/arXiv.2310.11670,Prototype-based HyperAdapter for Sample-Efficient Multi-task Tuning,"Zhao H., Fu J., He Z.",2023,Conference on Empirical Methods in Natural Language Processing,9,2,fulltext,core,adapter-composition,,hypernetwork,none,§4.x,★R1,,,PHA: prototype retriever + hypernetwork generates adapters,PHA: prototype retriever + hypernetwork generates adapters; few-shot multi-task. §4.x ★R1,SCOPUS
2310.04742,2310.04742,10.48550/arXiv.2310.04742,Parameter Efficient Multi-task Model Fusion with Partial Linearization,"Tang A., Shen L., Luo Y., Zhan Y., Hu H., Du B., Chen Y., Tao D.",2023,ArXiv,58,3,fulltext,core,adapter-composition,,LoRA,none,§4.x,,,,Partial linearization + task arithmetic over linearized adapters for multi-task fusion,Partial linearization + task arithmetic over linearized adapters for multi-task fusion. §4.x,SCOPUS
10.52202/068431-0772,,10.52202/068431-0772,Memory Efficient Continual Learning with Transformers,"Ermis B., Zappella G., Wistuba M., Rawal A., Archambeau C.",2022,Advances in Neural Information Processing Systems 35,62,2,abstract-2nd-pass,core,adapter-composition,,generic-PEFT,none,§4.x,,,,memory efficient continual learning with adapter-based transformers,§4.x memory efficient continual learning with adapter-based transformers,SCOPUS
2205.10835,2205.10835,10.48550/arXiv.2205.10835,Multilingual Machine Translation with Hyper-Adapters,"Baziotis C., Artetxe M., Cross J., Bhosale S.",2022,Conference on Empirical Methods in Natural Language Processing,27,2,fulltext,core,adapter-composition,,hypernetwork,none,§4.x,,,,Hyper-Adapters for MT: hypernetworks encode language relatedness,Hyper-Adapters for MT: hypernetworks encode language relatedness; 12× param efficiency. §4.x,SCOPUS
2203.08304,2203.08304,10.48550/arXiv.2203.08304,Hyperdecoders: Instance-specific decoders for multi-task NLP,"Ivison H., Peters M.E.",2022,Conference on Empirical Methods in Natural Language Processing,25,2,fulltext,core,adapter-composition,,hypernetwork,none,§4.x,,,,Hyperdecoders: per-instance hypernetwork decoder,Hyperdecoders: per-instance hypernetwork decoder; input-conditioned multi-task adaptation. §4.x,SCOPUS
2203.03878,2203.03878,10.48550/arXiv.2203.03878,HyperPELT: Unified Parameter-Efficient Language Model Tuning for Both Language and Vision-and-Language Tasks,"Zhang Z., Guo W., Meng X., Wang Y., Wang Y., Jiang X., Liu Q., Yang Z.",2022,Annual Meeting of the Association for Computational Linguistics,18,2,fulltext,core,adapter-composition,,hypernetwork,none,§4.x,,,,HyperPELT: shared hypernetwork for NLP+V&L,HyperPELT: shared hypernetwork for NLP+V&L; task+layer+visual embeddings. §4.x,SCOPUS
2205.12148,2205.12148,10.48550/arXiv.2205.12148,Hyper-X: A Unified Hypernetwork for Multi-Task Multilingual Transfer,"Üstün A., Bisazza A., Bouma G., van Noord G., Ruder S.",2022,Conference on Empirical Methods in Natural Language Processing,38,3,fulltext,core,adapter-composition,,MoE-adapters; hypernetwork,none,§4.x,,,,Hyper-X: hypernetwork conditioned on task+language embeddings,Hyper-X: hypernetwork conditioned on task+language embeddings; zero-shot cross-lingual+task. §4.x,SCOPUS
10.18653/v1/2021.acl-long.47,,10.18653/v1/2021.acl-long.47,Parameter-efficient Multi-task Fine-tuning for Transformers via Shared Hypernetworks,"Mahabadi R.K., Ruder S., Dehghani M., Henderson J.",2021,Annual Meeting of the Association for Computational Linguistics,361,2,fulltext,core,adapter-composition,,hypernetwork,none,§3.4; §4.x,,,,HyperFormer: hypernetworks generate adapters for all layers+tasks,HyperFormer: hypernetworks generate adapters for all layers+tasks; 0.29% params per task. §3.4/§4.x,SCOPUS
10.18653/v1/2022.acl-long.433,,10.18653/v1/2022.acl-long.433,UniPELT: A Unified Framework for Parameter-Efficient Language Model Tuning,"Mao Y., Mathias L., Hou R., Almahairi A., Ma H., Han J., Yih W.-T., Khabsa M.",2021,Annual Meeting of the Association for Computational Linguistics,221,2,fulltext,core,adapter-composition,,generic-PEFT,none,§3.4; §4.x,,,,UniPELT: gating activates best PEFT submodule per task,UniPELT: gating activates best PEFT submodule per task; mixture > individual methods. §3.4/§4.x,SCOPUS
10.18653/v1/2021.findings-emnlp.410,,10.18653/v1/2021.findings-emnlp.410,MAD-G: Multilingual Adapter Generation for Efficient Cross-Lingual Transfer,"Ansell A., Ponti E.M., Pfeiffer J., Ruder S., Glavaš G., Vulic I., Korhonen A.",2021,Conference on Empirical Methods in Natural Language Processing,100,2,fulltext,core,adapter-composition,,hypernetwork,none,§4.x,,,,MAD-G: hypernetwork generates language adapters from typological features,MAD-G: hypernetwork generates language adapters from typological features; zero-shot cross-lingual. §4.x,SCOPUS
2005.00247,2005.00247,10.18653/v1/2021.eacl-main.39,AdapterFusion: Non-Destructive Task Composition for Transfer Learning,"Pfeiffer J., Kamath A., Rücklé A., Cho K., Gurevych I.",2021,EACL 2021,1124,3,fulltext,core,adapter-composition,,generic-PEFT,none,§4.2,★M2,,,AdapterFusion: two-stage algorithm separating knowledge extraction from composition,AdapterFusion: two-stage algorithm separating knowledge extraction from composition; Q/K/V attention fusion. §4.2 ★M2,SCOPUS
10.18653/v1/2020.emnlp-main.617,,10.18653/v1/2020.emnlp-main.617,MAD-X: An Adapter-based Framework for Multi-task Cross-lingual Transfer,"Pfeiffer J., Vulić I., Gurevych I., Ruder S.",2020,Conference on Empirical Methods in Natural Language Processing,716,2,fulltext,core,adapter-composition,,generic-PEFT,none,§4.x,,,,MAD-X: modular language+task adapters for cross-lingual transfer,MAD-X: modular language+task adapters for cross-lingual transfer; invertible adapters. §4.x,SCOPUS
10.18653/v1/2021.emnlp-main.626,,10.18653/v1/2021.emnlp-main.626,AdapterDrop: On the Efficiency of Adapters in Transformers,"Rücklé A., Geigle G., Glockner M., Beck T., Pfeiffer J., Reimers N., Gurevych I.",2020,Conference on Empirical Methods in Natural Language Processing,305,3,fulltext,core,adapter-composition,,generic-PEFT,none,§3.2; §4.2,,,,AdapterDrop: prunes adapters from lower layers,AdapterDrop: prunes adapters from lower layers; reduces inference overhead; AdapterFusion pruning. §3.2/§4.2,SCOPUS
2404.05182,2404.05182,10.48550/arXiv.2404.05182,DLoRA: Distributed Parameter-Efficient Fine-Tuning Solution for Large Language Model,"Gao C., Zhang S.Q.",2024,Conference on Empirical Methods in Natural Language Processing,10,1,fulltext,core,distributed-PEFT,,LoRA,none,§6.x,,,,DLoRA: cloud-device distributed PEFT with Kill-and-Revive,DLoRA: cloud-device distributed PEFT with Kill-and-Revive; reduces device workload. §6.x,SCOPUS
2509.26182,2509.26182,10.48550/arXiv.2509.26182,Parallax: Efficient LLM Inference Service over Decentralized Environment,Chris Tong; Youhe Jiang; Gufeng Chen; Tianyi Zhao; Sibian Lu; Wenjie Qu; Eric Yang; Lynn Ai; Binhang Yuan,2025,arXiv.org,7,3,fulltext,core,P2P-FL,,none,decentralised,§5.x,★S1,,,Parallax: two-phase scheduler (model allocation + request routing) for decentralised GPU pools,Parallax: two-phase scheduler (model allocation + request routing) for decentralised GPU pools. §5.x ★S1,ARXIV
2311.06805,2311.06805,10.48550/arXiv.2311.06805,Tunable Soft Prompts are Messengers in Federated Learning,"Dong C., Xie Y., Ding B., Shen Y., Li Y.",2023,Conference on Empirical Methods in Natural Language Processing,13,3,fulltext,core,P2P-FL,,generic-PEFT,federated; edge-collaborative,§6.x,,,,Soft prompts as FL messengers,Soft prompts as FL messengers; global model privacy protection; communication+compute reduction. §6.x,SCOPUS
2501.15361,2501.15361,10.48550/arXiv.2501.15361,Decentralized Low-Rank Fine-Tuning of Large Language Models,Sajjad Ghiasvand; Mahnoosh Alizadeh; Ramtin Pedarsani,2025,Proceedings of the 1st Workshop for Research on Agent Language Models (REALM 2025),12,1,fulltext,core,P2P-DL,,LoRA,P2P; federated,§6.3,★A1; ★S1,,,"Dec-LoRA: P2P decentralised LoRA fine-tuning, O(T^-0","Dec-LoRA: P2P decentralised LoRA fine-tuning, O(T^-0.5) convergence. §6.3+ ★A1 ★S1",ARXIV
2209.01188,2209.01188,,Petals: Collaborative Inference and Fine-tuning of Large Models,"Borzunov A., Baranchuk D., Dettmers T., Ryabinin M., Belkada Y., Chumachenko A., Samygin P., Raffel C.",2022,ACL 2023 Demo / NeurIPS 2023,108,3,fulltext,core,P2P-DL,,generic-PEFT,P2P,§5.2,,,,Petals: collaborative inference/fine-tuning over P2P,Petals: collaborative inference/fine-tuning over P2P; layer sharding; PEFT over shared backbone. §5.2,SCOPUS
2503.12016,2503.12016,10.48550/arXiv.2503.12016,A Survey on Federated Fine-tuning of Large Language Models,"Wu Y., Tian C., Li J., Sun H., Tam K., Zhou Z., Liao H., Xiong J., Guo Z., Li L., Xu C.",2025,ArXiv,19,1,fulltext,core,survey,,generic-PEFT,federated; edge-collaborative,§6.x,,,,"FedLLM survey (TMLR 2026): PEFT in FL, benchmarks, open challenges","FedLLM survey (TMLR 2026): PEFT in FL, benchmarks, open challenges. §6.x",SCOPUS
2510.12178,2510.12178,10.48550/arXiv.2510.12178,Evolution of meta's llama models and parameter-efficient fine-tuning of large language models: a survey,Abdulhady Abas Abdullah; Arkaitz Zubiaga; Seyedali Mirjalili; Amir H. Gandomi; Fatemeh Daneshfar; Mohammadsadra Amini; Alan Salam Mohammed; Hadi Veisi,2025,arXiv.org,4,2,fulltext,core,survey,,QLoRA; MoE-adapters,none,§3.x,,,,LLaMA evolution + PEFT survey: LoRA/QLoRA/LLaMA-Adapter applied to LLaMA 1-4,LLaMA evolution + PEFT survey: LoRA/QLoRA/LLaMA-Adapter applied to LLaMA 1-4. §3.x,ARXIV
10.24963/ijcai.2025/1196,,10.24963/ijcai.2025/1196,Federated Low-Rank Adaptation for Foundation Models: A Survey,"Yang Y., Long G., Lu Q., Zhu L., Jiang J., Zhang C.",2024,International Joint Conference on Artificial Intelligence,7,3,fulltext,core,survey,,LoRA,federated,§6.x,,,,"FedLoRA survey (IJCAI 2025): heterogeneity, distributed learning, efficiency in FL+LoRA","FedLoRA survey (IJCAI 2025): heterogeneity, distributed learning, efficiency in FL+LoRA. §6.x",SCOPUS
10.1109/ACCESS.2024.3442014,,10.1109/ACCESS.2024.3442014,An Overview of Autonomous Connection Establishment Methods in Peer-to-Peer Deep Learning,"Šajina R., Tanković N., Ipšić I.",2024,IEEE Access 12,0,3,abstract-2nd-pass,core,survey,,none,P2P; decentralised,§6.x,★A1,,,autonomous connection establishment in P2P deep learning,§6.x ★A1 autonomous connection establishment in P2P deep learning,SCOPUS
10.1145/3637528.3671573,,10.1145/3637528.3671573,FederatedScope-LLM: A Comprehensive Package for Fine-tuning Large Language Models in Federated Learning,"Kuang W., Qian B., Li Z., Chen D., Gao D., Pan X., Xie Y., Li Y., Ding B., Zhou J.",2023,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,223,1,abstract-2nd-pass,core,survey,,generic-PEFT,federated,§6.x,,,,federated PEFT framework,§6.x federated PEFT framework; comprehensive FL+LLM fine-tuning package,SCOPUS
10.18653/v1/2025.acl-long.719,,10.18653/v1/2025.acl-long.719,"Adapt Once, Thrive with Updates: Transferable Parameter-Efficient Fine-Tuning on Evolving Base Models","Gu N., Fu P., Liu X., Ma K., Lin Z., Wang W.",2025,Proceedings of the Annual Meeting of the Association for Computational Linguistics,,G_SNOW_F,fulltext,core,PEFT-method,,generic-PEFT,none,§4.x,★S1,,,Trans-PEFT: PEFT module transfer across base model updates,Trans-PEFT: PEFT module transfer across base model updates; FFN vs attention analysis. §4.x ★S1,SCOPUS
2304.04947,2304.04947,10.48550/arXiv.2304.04947,Conditional Adapters: Parameter-efficient Transfer Learning with Fast Inference,"Lei T., Bai J., Brahma S., Ainslie J., Lee K., Zhou Y., Du N., Zhao V.Y., Wu Y., Li B., Zhang Y., Chang M.-W.",2023,Neural Information Processing Systems,90,3,fulltext,core,PEFT-method,,generic-PEFT,none,§3.4; §5.x,,,,CODA: sparse activation adapters,CODA: sparse activation adapters; conditional computation; 2-8× inference speedup. §3.4/§5.x,SCOPUS
10.18653/v1/2021.acl-long.172,,10.18653/v1/2021.acl-long.172,On the Effectiveness of Adapter-based Tuning for Pretrained Language Model Adaptation,"He R., Liu L., Ye H., Tan Q., Ding B., Cheng L., Low J.-W., Bing L., Si L.",2021,Annual Meeting of the Association for Computational Linguistics,245,2,fulltext,core,PEFT-method,,generic-PEFT,none,§3.2; §4.x,,,,Adapter effectiveness: mitigates forgetting,Adapter effectiveness: mitigates forgetting; outperforms fine-tuning in low-resource. §3.2/§4.x,SCOPUS
10.1145/3775043.3775047,,10.1145/3775043.3775047,"Idle Consumer GPUs as a Complement to Enterprise Hardware for LLM Inference: Performance, Cost and Carbon Analysis",de Almeida A.R.,2026,AIBC 2025 - 2025 6th International Artificial Intelligence and Blockchain Conference,,G_SNOW_F,abstract-2nd-pass,core,distributed-inference,,none,edge-collaborative,§5.x,★S1,,,consumer GPU complement to enterprise hardware for LLM inference,§5.x ★S1 consumer GPU complement to enterprise hardware for LLM inference,SCOPUS
2504.17449,2504.17449,10.1007/s00778-025-00919-7,HMI: hierarchical knowledge management for efficient multi-tenant inference in pretrained language models,"Zhang J., Wang J., Li H., Shou L., Chen K., Chen G., Xie Q., Xie G., Gong X.",2025,The VLDB journal,1,3,fulltext,core,distributed-inference,,none,none,§5.x,,,,HMI: general/domain/task knowledge hierarchy for multi-tenant PLM serving,HMI: general/domain/task knowledge hierarchy for multi-tenant PLM serving; parameter swapping. §5.x,SCOPUS
10.1145/3605573.3605585,,10.1145/3605573.3605585,ITIF: Integrated Transformers Inference Framework for Multiple Tenants on GPU,"Zhang Y., Zhang Z., Bao W., Yuan D.",2023,Proceedings of the 52nd International Conference on Parallel Processing,2,3,abstract-2nd-pass,core,distributed-inference,,none,none,§5.x,,,,ITIF: multi-tenant transformer inference on shared GPU,§5.x ITIF: multi-tenant transformer inference on shared GPU,SCOPUS
10.1007/3-540-45748-8_5,,10.1007/3-540-45748-8_5,Kademlia: A Peer-to-Peer Information System Based on the XOR Metric,"Maymounkov P., Mazières D.",2002,International Workshop on Peer-to-Peer Systems,3611,3,abstract-2nd-pass,core,foundational-P2P,,generic-PEFT,DHT; P2P,§2.x,★A1,,,foundational Kademlia DHT paper,§2.x foundational Kademlia DHT paper; underpins ★A1 adapter discovery protocol,SCOPUS
10.1109/ccgrid64434.2025.00013,,10.1109/ccgrid64434.2025.00013,P2P-Fed: A Decentralized Federated Learning Platform on Structured Peer-to-Peer Systems,"Lim A., Jang S., Lee J.",2025,"2025 IEEE 25th International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",0,3,abstract-2nd-pass,background,P2P-FL,,none,P2P; federated,§6.x,,,,P2P-Fed: decentralized federated learning on structured P2P overlay,§6.x P2P-Fed: decentralized federated learning on structured P2P overlay,SCOPUS
10.1016/j.ins.2024.120582,,10.1016/j.ins.2024.120582,DeFTA: A plug-and-play peer-to-peer decentralized federated learning framework,"Zhou Y., Shi M., Tian Y., Ye Q., Lv J.",2024,Inf. Sci. 670,17,3,abstract-2nd-pass,background,P2P-FL,,none,P2P; federated,§6.x,,,,DeFTA: plug-and-play P2P decentralized federated learning framework,§6.x DeFTA: plug-and-play P2P decentralized federated learning framework,SCOPUS
10.1109/TVT.2023.3332898,,10.1109/TVT.2023.3332898,TravellingFL: Communication Efficient Peer-to-Peer Federated Learning,"Gupta V., Luqman A., Chattopadhyay N., Chattopadhyay A., Niyato D.",2024,IEEE Transactions on Vehicular Technology 73,13,3,abstract-2nd-pass,background,P2P-FL,,none,P2P; federated,§6.x,,,,TravellingFL: communication-efficient P2P federated learning,§6.x TravellingFL: communication-efficient P2P federated learning,SCOPUS
10.1109/GLOBECOM52923.2024.10901542,,10.1109/GLOBECOM52923.2024.10901542,Decentralized LLM Inference over Edge Networks with Energy Harvesting,"Khoshsirat A., Perin G., Rossi M.",2024,GLOBECOM 2024 - 2024 IEEE Global Communications Conference,9,3,abstract-2nd-pass,background,P2P-FL,,none,decentralised; edge-collaborative,§5.x,,,,decentralized LLM inference over edge networks with energy harvesting,§5.x decentralized LLM inference over edge networks with energy harvesting,SCOPUS
10.1109/TBDATA.2023.3280405,,10.1109/TBDATA.2023.3280405,Privacy and Efficiency of Communications in Federated Split Learning,"Zhang Z., Pinto A., Turina V., Esposito F., Matta I.",2023,IEEE Transactions on Big Data 9,57,3,abstract-2nd-pass,background,P2P-FL,,none,split-learning; federated,§6.x,,,,privacy and efficiency in federated split learning,§6.x privacy and efficiency in federated split learning,SCOPUS
2206.01288,2206.01288,10.48550/arXiv.2206.01288,Decentralized Training of Foundation Models in Heterogeneous Environments,"Yuan B., He Y., Davis J.Q., Zhang T., Dao T., Chen B., Liang P., Re C., Zhang C.",2022,Neural Information Processing Systems,134,3,fulltext,background,P2P-FL,,none,decentralised; model-parallel,§6.x,,,,Decentralised training of foundation models over heterogeneous networks,Decentralised training of foundation models over heterogeneous networks; scheduling algorithm. §6.x,SCOPUS
10.1109/jstsp.2022.3152445,,10.1109/jstsp.2022.3152445,Decentralized Federated Learning With Unreliable Communications,"Ye H., Liang L., Li G.Y.",2021,IEEE Journal of Selected Topics in Signal Processing 16,162,3,abstract-2nd-pass,background,P2P-FL,,none,P2P; federated; edge-collaborative,§6.x,,,,decentralized FL with unreliable communications,§6.x decentralized FL with unreliable communications,SCOPUS
10.18653/v1/2022.findings-naacl.13,,10.18653/v1/2022.findings-naacl.13,FedNLP: Benchmarking Federated Learning Methods for Natural Language Processing Tasks,"Lin B.Y., He C., Zeng Z., Wang H., Huang Y., Dupuy C., Gupta R., Soltanolkotabi M., Ren X., Avestimehr S.",2021,NAACL-HLT,149,3,fulltext,background,P2P-FL,,none,federated,§6.x,,,,"FedNLP: benchmark for FL on NLP (text classification, seq tagging, QA, seq2seq)","FedNLP: benchmark for FL on NLP (text classification, seq tagging, QA, seq2seq). §6.x",SCOPUS
10.1145/3429252,,10.1145/3429252,Decentralised Learning in Federated Deployment Environments,"Bellavista P., Foschini L., Mora A.",2021,ACM Computing Surveys (CSUR) 54,99,3,abstract-2nd-pass,background,P2P-FL,,none,federated,§6.x,,,,decentralised learning in federated deployment environments,§6.x decentralised learning in federated deployment environments,SCOPUS
10.1109/DSN-W52860.2021.00034,,10.1109/DSN-W52860.2021.00034,An Approach for Peer-to-Peer Federated Learning,"Wink T., Nochta Z.",2021,2021 51st Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshops (DSN-W),57,3,abstract-2nd-pass,background,P2P-FL,,none,P2P; federated,§6.x,,,,approach for peer-to-peer federated learning,§6.x approach for peer-to-peer federated learning,SCOPUS
5263d43a275cc2475ab780ea3adbcfa390de3ee8,,,Decentralized federated learning of deep neural networks on non-iid data,,2021,ArXiv,53,3,abstract-2nd-pass,background,P2P-FL,,none,P2P; federated,§6.x,,,,decentralized FL of DNNs on non-IID data (personalized),§6.x decentralized FL of DNNs on non-IID data (personalized),ARXIV
7d6d7a31464cb9079ba32ed117eaed1878a5d2eb,,,Secure Distributed Training at Scale,"Gorbunov E., Borzunov A., Diskin M., Ryabinin M.",2021,International Conference on Machine Learning,17,3,abstract-2nd-pass,background,P2P-FL,,none,federated,§6.x,,,,secure distributed training at scale (volunteer/federated),§6.x secure distributed training at scale (volunteer/federated),SCOPUS
