read_status,tier,corpus,contribution_type,thesis_sections,title,authors,year,venue,citation_count,peft_technique,distribution_mechanism,contribution_codes,key_finding,doi,arxiv_id,source,paper_key
,2,core,adapter-composition,§4.x,MAD-G: Multilingual Adapter Generation for Efficient Cross-Lingual Transfer,"Ansell A., Ponti E.M., Pfeiffer J., Ruder S., Glavaš G., Vulic I., Korhonen A.",2021,Conference on Empirical Methods in Natural Language Processing,100,hypernetwork,none,,MAD-G: hypernetwork generates language adapters from typological features,10.18653/v1/2021.findings-emnlp.410,,SCOPUS,10.18653/v1/2021.findings-emnlp.410
,2,core,adapter-composition,§4.x,MAD-X: An Adapter-based Framework for Multi-task Cross-lingual Transfer,"Pfeiffer J., Vulić I., Gurevych I., Ruder S.",2020,Conference on Empirical Methods in Natural Language Processing,716,generic-PEFT,none,,MAD-X: modular language+task adapters for cross-lingual transfer,10.18653/v1/2020.emnlp-main.617,,SCOPUS,10.18653/v1/2020.emnlp-main.617
,2,core,PEFT-method,§3.2; §4.x,On the Effectiveness of Adapter-based Tuning for Pretrained Language Model Adaptation,"He R., Liu L., Ye H., Tan Q., Ding B., Cheng L., Low J.-W., Bing L., Si L.",2021,Annual Meeting of the Association for Computational Linguistics,245,generic-PEFT,none,,Adapter effectiveness: mitigates forgetting,10.18653/v1/2021.acl-long.172,,SCOPUS,10.18653/v1/2021.acl-long.172
,2,core,survey,§3.x,Evolution of meta's llama models and parameter-efficient fine-tuning of large language models: a survey,Abdulhady Abas Abdullah; Arkaitz Zubiaga; Seyedali Mirjalili; Amir H. Gandomi; Fatemeh Daneshfar; Mohammadsadra Amini; Alan Salam Mohammed; Hadi Veisi,2025,arXiv.org,4,QLoRA; MoE-adapters,none,,LLaMA evolution + PEFT survey: LoRA/QLoRA/LLaMA-Adapter applied to LLaMA 1-4,10.48550/arXiv.2510.12178,2510.12178,ARXIV,2510.12178
,3,core,adapter-serving,§5.x,Rock: Serving Multimodal Models in Cloud with Heterogeneous-Aware Resource Orchestration for Thousands of LoRA Adapters,"Wu S., Lin Y., Peng S., Chen W., Ma C., Shen M., Chen L., Xu C., Ye K.",2025,2025 IEEE International Conference on Cluster Computing (CLUSTER),1,LoRA,none,,Rock: serving thousands of LoRA adapters for multimodal cloud models,10.1109/CLUSTER59342.2025.11186463,,SCOPUS,10.1109/CLUSTER59342.2025.11186463
,3,core,adapter-serving,§5.x,SLoRA: Scalable Serving of Thousands of LoRA Adapters,,2024,Conference on Machine Learning and Systems,32,LoRA,none,,SLoRA: scalable serving of thousands of LoRA adapters,,,,ecf8cb103a07e78cb3d88944691ed39e48e6cd07
,3,core,P2P-DL,§5.2,Petals: Collaborative Inference and Fine-tuning of Large Models,"Borzunov A., Baranchuk D., Dettmers T., Ryabinin M., Belkada Y., Chumachenko A., Samygin P., Raffel C.",2022,ACL 2023 Demo / NeurIPS 2023,108,generic-PEFT,P2P,,Petals: collaborative inference/fine-tuning over P2P,,2209.01188,SCOPUS,2209.01188
,3,core,distributed-inference,§5.x,HMI: hierarchical knowledge management for efficient multi-tenant inference in pretrained language models,"Zhang J., Wang J., Li H., Shou L., Chen K., Chen G., Xie Q., Xie G., Gong X.",2025,The VLDB journal,1,none,none,,HMI: general/domain/task knowledge hierarchy for multi-tenant PLM serving,10.1007/s00778-025-00919-7,2504.17449,SCOPUS,2504.17449
,3,core,distributed-inference,§5.x,ITIF: Integrated Transformers Inference Framework for Multiple Tenants on GPU,"Zhang Y., Zhang Z., Bao W., Yuan D.",2023,Proceedings of the 52nd International Conference on Parallel Processing,2,none,none,,ITIF: multi-tenant transformer inference on shared GPU,10.1145/3605573.3605585,,SCOPUS,10.1145/3605573.3605585
,3,core,federated-PEFT,§6.x,Heterogeneous LoRA for Federated Fine-tuning of On-Device Foundation Models,"Cho Y.J., Liu L., Xu Z., Fahrezi A., Joshi G.",2024,Conference on Empirical Methods in Natural Language Processing,118,LoRA,federated; edge-collaborative,,HetLoRA: heterogeneous LoRA ranks in FL,10.18653/v1/2024.emnlp-main.717,,SCOPUS,10.18653/v1/2024.emnlp-main.717
,3,core,federated-PEFT,§6.x,Beyond Fine-Tuning: Efficient and Effective Fed-Tuning for Mobile/Web Users,"Liu B., Cai Y., Bi H., Zhang Z., Li D., Guo Y., Chen X.",2023,Proceedings of the ACM Web Conference 2023,11,generic-PEFT,federated,,Fed-Tuning beyond fine-tuning for mobile/web with PEFT,10.1145/3543507.3583212,,SCOPUS,10.1145/3543507.3583212
,3,core,adapter-routing,§4.x; §7.x,Multi-Head Adapter Routing for Cross-Task Generalization,"Caccia L., Ponti E., Su Z., Pereira M., Le Roux N., Sordoni A.",2022,Advances in Neural Information Processing Systems 36,35,generic-PEFT,none,,multi-head adapter routing for cross-task generalization,10.52202/075280-2488,,SCOPUS,10.52202/075280-2488
,3,core,adapter-composition,§4.x,SEA: Hierarchically searching efficient adapters for pre-trained models,"Lu S., Mao F., Chen J., Mei J., Min C., Xing Y., Hu Y.",2026,Neural Networks,0,generic-PEFT,none,,SEA: hierarchical search for efficient adapters in pre-trained models,10.1016/j.neunet.2026.108912,,SCOPUS,10.1016/j.neunet.2026.108912
,3,core,adapter-composition,§4.2,AdapterFusion: Non-Destructive Task Composition for Transfer Learning,"Pfeiffer J., Kamath A., Rücklé A., Cho K., Gurevych I.",2021,EACL 2021,1124,generic-PEFT,none,★M2,AdapterFusion: two-stage algorithm separating knowledge extraction from composition,10.18653/v1/2021.eacl-main.39,2005.00247,SCOPUS,2005.00247
,3,core,adapter-composition,§3.2; §4.2,AdapterDrop: On the Efficiency of Adapters in Transformers,"Rücklé A., Geigle G., Glockner M., Beck T., Pfeiffer J., Reimers N., Gurevych I.",2020,Conference on Empirical Methods in Natural Language Processing,305,generic-PEFT,none,,AdapterDrop: prunes adapters from lower layers,10.18653/v1/2021.emnlp-main.626,,SCOPUS,10.18653/v1/2021.emnlp-main.626
,3,core,survey,§6.x,Federated Low-Rank Adaptation for Foundation Models: A Survey,"Yang Y., Long G., Lu Q., Zhu L., Jiang J., Zhang C.",2024,International Joint Conference on Artificial Intelligence,7,LoRA,federated,,"FedLoRA survey (IJCAI 2025): heterogeneity, distributed learning, efficiency in FL+LoRA",10.24963/ijcai.2025/1196,,SCOPUS,10.24963/ijcai.2025/1196
,3,core,survey,§6.x,An Overview of Autonomous Connection Establishment Methods in Peer-to-Peer Deep Learning,"Šajina R., Tanković N., Ipšić I.",2024,IEEE Access 12,0,none,P2P; decentralised,★A1,autonomous connection establishment in P2P deep learning,10.1109/ACCESS.2024.3442014,,SCOPUS,10.1109/ACCESS.2024.3442014
,3,core,foundational-P2P,§2.x,Kademlia: A Peer-to-Peer Information System Based on the XOR Metric,"Maymounkov P., Mazières D.",2002,International Workshop on Peer-to-Peer Systems,3611,generic-PEFT,DHT; P2P,★A1,foundational Kademlia DHT paper,10.1007/3-540-45748-8_5,,SCOPUS,10.1007/3-540-45748-8_5
,1,background,PEFT-method,§3.4,QLoRA: Efficient Finetuning of Quantized LLMs,"Dettmers T., Pagnoni A., Holtzman A., Zettlemoyer L.",2023,Neural Information Processing Systems,4299,QLoRA,none,,QLoRA: 4-bit quantization + LoRA,10.48550/arXiv.2305.14314,2305.14314,SCOPUS,2305.14314
,1,background,survey,§3.x,A survey on LoRA of large language models,"Mao Y., Ge Y., Fan Y., Xu W., Mi Y., Hu Z., Gao Y.",2024,Frontiers of Computer Science 19,120,LoRA,federated,,"LoRA survey: downstream adaptation, cross-task generalisation, FL privacy, efficiency",10.1007/s11704-024-40663-9,,SCOPUS,10.1007/s11704-024-40663-9
,2,background,PEFT-method,§3.x,Low Rank Adaptation Enables Efficient Domain Transfer in Billion Parameter Language Models,,2026,Computer Life,0,QLoRA,none,,low-rank adaptation for domain transfer in billion-parameter LLMs,10.54097/6w0gxa44,,,10.54097/6w0gxa44
,2,background,PEFT-method,§3.x,ReLoRA: High-Rank Training Through Low-Rank Updates,"Lialin V., Muckatira S., Shivagunde N., Rumshisky A.",2023,International Conference on Learning Representations,198,LoRA,none,,ReLoRA: high-rank training via iterative low-rank updates,,,SCOPUS,0d2adcddccd72de47c263b6e4e0aab3dd0582a52
,2,background,PEFT-method,§3.3,LoRA: Low-Rank Adaptation of Large Language Models,"Hu E., Shen Y., Wallis P., Allen-Zhu Z., Li Y., Wang S., Wang L., Chen W.",2022,ICLR 2022,,LoRA,none,,LoRA (Hu 2021): ΔW=BA,,2106.09685,ARXIV,2106.09685
,2,background,PEFT-method,§3.x,LoRA: Low-Rank Adaptation of Large Language Models,"Hu E., Shen Y., Wallis P., Allen-Zhu Z., Li Y., Wang S., Wang L., Chen W.",2021,International Conference on Learning Representations,17965,LoRA,none,,seminal LoRA paper,,,SCOPUS,a8ca46b171467ceb2d7652fbfb67fe701ad86092
,2,background,PEFT-method,§3.4,Prefix-Tuning: Optimizing Continuous Prompts for Generation,"Li X.L., Liang P.",2021,Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),5468,generic-PEFT,none,,Prefix-Tuning: continuous prefix vectors as PEFT baseline,10.18653/v1/2021.acl-long.353,,SCOPUS,10.18653/v1/2021.acl-long.353
,2,background,PEFT-method,§3.4,The Power of Scale for Parameter-Efficient Prompt Tuning,"Lester B., Al-Rfou R., Constant N.",2021,Conference on Empirical Methods in Natural Language Processing,5191,prefix-tuning; prompt-tuning,none,,Prompt Tuning: soft prompts scale with model size,10.18653/v1/2021.emnlp-main.243,,SCOPUS,10.18653/v1/2021.emnlp-main.243
,2,background,PEFT-method,§3.x,Towards a Unified View of Parameter-Efficient Transfer Learning,"He J., Zhou C., Ma X., Berg-Kirkpatrick T., Neubig G.",2021,International Conference on Learning Representations,1167,LoRA; prefix-tuning,none,,"unified view of PEFT: prefix tuning, adapters, LoRA comparison",,,SCOPUS,43a87867fe6bf4eb920f97fc753be4b727308923
,2,background,PEFT-method,§3.x,Compacter: Efficient Low-Rank Hypercomplex Adapter Layers,"Mahabadi R.K., Henderson J., Ruder S.",2021,Neural Information Processing Systems,607,Compacter; hypercomplex,none,,Compacter: hypercomplex low-rank adapter layers,,,SCOPUS,656ed155c2d345c19d9bff4b50f2ae00db8407cc
,2,background,PEFT-method,§3.x,Parameter-Efficient Transfer Learning for NLP,"Houlsby N., Giurgiu A., Jastrzȩbski S., Morrone B., Laroussilhe Q., Gesmundo A., Attariyan M., Gelly S.",2019,International Conference on Machine Learning,6005,Houlsby-adapter,none,,Houlsby adapter: seminal adapter paper for NLP (Houlsby 2019),,,,29ddc1f43f28af7c846515e32cc167bc66886d0c
,2,background,PEFT-method,§3.2,Parameter-Efficient Transfer Learning for NLP,"Houlsby N., Giurgiu A., Jastrzȩbski S., Morrone B., Laroussilhe Q., Gesmundo A., Attariyan M., Gelly S.",2019,ICML 2019,,Houlsby-adapter,P2P,,Houlsby 2019: bottleneck adapter (down-proj→act→up-proj+skip),,1902.00751,SCOPUS,1902.00751
,2,background,survey,§3.x,Parameter-efficient fine-tuning in large language models: a survey of methodologies,"Wang L., Chen S., Jiang L., Pan S., Cai R., Yang S., Yang F.",2024,Artificial Intelligence Review 58,68,LoRA,none,,PEFT survey (AI Review 2025): recent survey covering LoRA variants and FL applications,10.1007/s10462-025-11236-4,,SCOPUS,10.1007/s10462-025-11236-4
,2,background,survey,§3.1,Parameter-efficient fine-tuning of large-scale pre-trained language models,"Ding N., Qin Y., Yang G., Wei F., Yang Z., Su Y., Hu S., Chen Y., Chan C.-M., Chen W., Yi J., Zhao W., Wang X., Liu Z., Zheng H.-T., Chen J., Liu Y., Tang J., Li J., Sun M.",2023,Nature Machine Intelligence,1067,generic-PEFT,none,,Delta-tuning (Nature MI): taxonomy of additive/selective/reparameterisation methods,10.1038/s42256-023-00626-4,,SCOPUS,10.1038/s42256-023-00626-4
,2,background,survey,§3.4,BitFit: Simple Parameter-efficient Fine-tuning for Transformer-based Masked Language-models,"Ben-Zaken E., Ravfogel S., Goldberg Y.",2021,Annual Meeting of the Association for Computational Linguistics,1678,generic-PEFT,none,,BitFit: selective bias-term fine-tuning,10.18653/v1/2022.acl-short.1,,SCOPUS,10.18653/v1/2022.acl-short.1
,3,background,P2P-DL,§6.x,Collaborative Deep Learning in Fixed Topology Networks,"Jiang Z., Balu A., Hegde C., Sarkar S.",2017,Neural Information Processing Systems,193,none,P2P; federated; model-parallel,,collaborative DL in fixed P2P topology networks,,,SCOPUS,4d886c571c0849fda73a2d24e944d59fd37bcf9c
,3,background,P2P-DL,§6.x,Decentralized Collaborative Learning of Personalized Models over Networks,"Vanhaesebrouck P., Bellet A., Tommasi M.",2016,International Conference on Artificial Intelligence and Statistics,248,none,gossip; P2P; decentralised,,decentralized collaborative learning of personalized models in P2P,,,SCOPUS,aaf4cec6c0ec0f195fc7aa3b0b175c73204fb575
,3,background,P2P-FL,§6.x,Privacy and Efficiency of Communications in Federated Split Learning,"Zhang Z., Pinto A., Turina V., Esposito F., Matta I.",2023,IEEE Transactions on Big Data 9,57,none,split-learning; federated,,privacy and efficiency in federated split learning,10.1109/TBDATA.2023.3280405,,SCOPUS,10.1109/TBDATA.2023.3280405
,3,background,P2P-FL,§6.x,Decentralized Federated Learning With Unreliable Communications,"Ye H., Liang L., Li G.Y.",2021,IEEE Journal of Selected Topics in Signal Processing 16,162,none,P2P; federated; edge-collaborative,,decentralized FL with unreliable communications,10.1109/jstsp.2022.3152445,,SCOPUS,10.1109/jstsp.2022.3152445
,3,background,P2P-FL,§6.x,FedNLP: Benchmarking Federated Learning Methods for Natural Language Processing Tasks,"Lin B.Y., He C., Zeng Z., Wang H., Huang Y., Dupuy C., Gupta R., Soltanolkotabi M., Ren X., Avestimehr S.",2021,NAACL-HLT,149,none,federated,,"FedNLP: benchmark for FL on NLP (text classification, seq tagging, QA, seq2seq)",10.18653/v1/2022.findings-naacl.13,,SCOPUS,10.18653/v1/2022.findings-naacl.13
,3,background,P2P-FL,§6.x,Decentralised Learning in Federated Deployment Environments,"Bellavista P., Foschini L., Mora A.",2021,ACM Computing Surveys (CSUR) 54,99,none,federated,,decentralised learning in federated deployment environments,10.1145/3429252,,SCOPUS,10.1145/3429252
,3,background,P2P-FL,§6.x,An Approach for Peer-to-Peer Federated Learning,"Wink T., Nochta Z.",2021,2021 51st Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshops (DSN-W),57,none,P2P; federated,,approach for peer-to-peer federated learning,10.1109/DSN-W52860.2021.00034,,SCOPUS,10.1109/DSN-W52860.2021.00034
,3,background,P2P-FL,§6.x,FedED: Federated Learning via Ensemble Distillation for Medical Relation Extraction,"Sui D., Chen Y., Zhao J., Jia Y., Xie Y., Sun W.",2020,Conference on Empirical Methods in Natural Language Processing,141,none,federated,,FedED: ensemble distillation for medical FL,10.18653/v1/2020.emnlp-main.165,,SCOPUS,10.18653/v1/2020.emnlp-main.165
,3,background,P2P-FL,§6.x,Federated Learning With Cooperating Devices: A Consensus Approach for Massive IoT Networks,"Savazzi S., Nicoli M., Rampa V.",2019,IEEE Internet of Things Journal 7,353,none,gossip; P2P; federated; serverless,,Consensus-based serverless FL for IoT,10.1109/JIOT.2020.2964162,,SCOPUS,10.1109/JIOT.2020.2964162
,3,background,distributed-inference,§5.x,EdgeShard: Efficient LLM Inference via Collaborative Edge Computing,"Zhang M., Shen X., Cao J., Cui Z., Jiang S.",2025,IEEE Internet of Things Journal 12,178,none,edge-collaborative,,EdgeShard: collaborative edge inference via model sharding,10.1109/JIOT.2024.3524255,,SCOPUS,10.1109/JIOT.2024.3524255
,3,background,distributed-inference,§5.x,ServerlessLLM: Low-Latency Serverless Inference for Large Language Models,"Fu Y., Xue L., Huang Y., Brabete A.-O., Ustiugov D., Patel Y., Mai L.",2024,USENIX Symposium on Operating Systems Design and Implementation,104,none,serverless,,ServerlessLLM: distributed serverless LLM inference,,,SCOPUS,717bc487c987470e063ae92771e910da29ad77c2
,3,background,distributed-inference,§5.x,Efficient Memory Management for Large Language Model Serving with PagedAttention,"Kwon W., Li Z., Zhuang S., Sheng Y., Zheng L., Yu C.H., Gonzalez J., Zhang H., Stoica I.",2023,Proceedings of the 29th Symposium on Operating Systems Principles,4850,none,none,,vLLM PagedAttention: foundational KV-cache memory management for LLM serving,10.1145/3600006.3613165,,SCOPUS,10.1145/3600006.3613165
,3,background,distributed-inference,§5.x,Orca: A Distributed Serving System for Transformer-Based Generative Models,"Yu G.-I., Jeong J.S., Kim G.-W., Kim S., Chun B.-G.",2022,USENIX Symposium on Operating Systems Design and Implementation,586,none,none,,Orca: iteration-level continuous batching for transformer serving,,,SCOPUS,9d7a75601e0e50dd68d40cfb8ef0e891dad797a6
,3,background,distributed-inference,§5.x,Distributed Inference with Deep Learning Models across Heterogeneous Edge Devices,"Hu C., Li B.",2022,IEEE INFOCOM 2022 - IEEE Conference on Computer Communications,78,none,edge-collaborative,,distributed inference across heterogeneous edge devices,10.1109/INFOCOM48880.2022.9796896,,SCOPUS,10.1109/INFOCOM48880.2022.9796896
,3,background,MoE-routing,§7.x,DeepSpeed-MoE: Advancing Mixture-of-Experts Inference and Training to Power Next-Generation AI Scale,"Rajbhandari S., Li C., Yao Z., Zhang M., Aminabadi R.Y., Awan A.A., Rasley J., He Y.",2022,International Conference on Machine Learning,504,LoRA; MoE-adapters,none,,DeepSpeed-MoE: MoE inference and training at scale,,,SCOPUS,7d1e512888a2fa4e838c12a02ae7fce867d322a8
,3,background,MoE-routing,§7.x,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,"Fedus W., Zoph B., Shazeer N.",2021,Journal of machine learning research,3618,none,none,,Switch Transformers: scaling MoE to trillion parameters,,,SCOPUS,fdacf2a732f55befdc410ea927091cad3b791f13
,3,background,MoE-routing,§6.x; §7.x,Towards Crowdsourced Training of Large Neural Networks using Decentralized Mixture-of-Experts,"Ryabinin M., Gusev A.",2020,Neural Information Processing Systems,61,none,decentralised,,crowdsourced training with decentralized MoE,,,SCOPUS,19eaa4ac17550fab2917d3f6121ed25e6d857a58
,3,background,gossip-learning,§6.x,Gossip Learning as a Decentralized Alternative to Federated Learning,"Hegedűs I., Danner G., Jelasity M.",2019,IFIP International Conference on Distributed Applications and Interoperable Systems,239,none,gossip; P2P; federated; edge-collaborative,,Gossip Learning: server-less P2P vs FL comparison,10.1007/978-3-030-22496-7_5,,SCOPUS,10.1007/978-3-030-22496-7_5
,3,background,gossip-learning,§6.x,Gossip learning with linear models on fully distributed data,"Ormándi R., Hegedus I., Jelasity M.",2011,Concurrency and Computation: Practice and Experience 25,184,none,gossip,,gossip learning with linear models on fully distributed data,10.1002/cpe.2858,,SCOPUS,10.1002/cpe.2858
