title,year,sources,venue_or_id,abstract
Beyond Full-Model Rollback: AuroSFT for Adapter-State Multi-Task Fine-Tuning,2026,arXiv,arXiv:2608.05250,"Multi-task supervised fine-tuning (SFT) often casts a heterogeneous data mixture as a single optimization problem, even though different tasks may reach their best generalization at different times. msft exposes this mismatch through task-wise roll-out, exclusion, and rollback, but its original form"
BitLoRA: Quantization-Compatible Adapter Tuning for 1.58-bit LLM in Federated On-Device AI-Agent,2026,WoS,EXPERT SYSTEMS WITH APPLICATIONS,"An increasing curiosity in bespoke AI methodologies has revealed the prospects and hurdles that extensive Large language model (LLM) encounter in contexts where resources are constrained and privacy is of paramount importance. Despite the impressive adaptability and generalization shown by LLM, the substantial memory demands and dependence on centralized frameworks introduce challenges for deployment in federated On-Device situations, where both data security and operational effectiveness are paramount. This investigation presents Bit-LoRA, a quantization-compatible adapter tuning framework that amalgamates 1.58 bit BitNet quantization with Parameter-Efficient Fine-Tuning methodologies. BitLoRA guarantees effective model adaptation while preserving stringent data confidentiality by solely transmitting lightweight adapter updates within a Federated Learning milieu. Comprehensive empirical assessments have demonstrated that BitLoRA consistently surpasses the benchmark model concerning accuracy while diminishing GPU memory usage by 85% or more. These findings indicate that BitLoRA not only facilitates substantial fine-tuning of LLM within a constrained computational budget but also furnishes a scalable foundation for the establishment of privacy, resource efficiency, and personalized AI-Agents. This proposed structure creates opportunities for the durable merger of LLM into federal and On-Device frameworks, bridging the gap between advanced model skills and essential deployment considerations."
Breaking the Structural Identity: Personalized Federated LoRA Fine-tuning under Rank Heterogeneity,2026,arXiv,arXiv:2609.00632,"Large Language Models (LLMs) have achieved remarkable success across diverse domains, but their adaptation to privacy-sensitive, distributed datasets remains a challenge. While Federated Learning (FL) combined with Low-Rank Adaptation (LoRA) provides a resource-efficient paradigm for collaborative f"
CD-LoRA: Consistency-Driven Low-Rank Adaptation for Multi-Task Fine-Tuning,2026,arXiv,arXiv:2608.21909,"While Multi-Task Learning (MTL) is essential for adapting Large Language Models (LLMs) to diverse domains, prevailing LoRA-based methods rely on complex routing mechanisms that partition task-specific knowledge. In this work, we reveal that such routing-based designs are prone to a training-inferenc"
CLEAR: Continuous Latent Adapter Routing for Utility-Preserving LLM Safety Alignment,2026,arXiv,arXiv:2608.21278,"Improving the safety of large language models (LLMs) often comes at the expense of utility, as globally applied safety tuning may affect model responses to both harmful and benign inputs. We propose \textbf{C}ontinuous \textbf{L}at\textbf{E}nt \textbf{A}dapter \textbf{R}outing (CLEAR), a conditional"
CoLoRA: A Collaborative Scheduling Framework for Multi-Tenant LoRA LLM Inference,2026,WoS,"2026 31ST ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE, ASP-DAC","Large Language Models (LLM) incur substantial resource costs during inference, driving widespread interest in Parameter-Efficient Fine-Tuning (PEFT) techniques. Among these, LoRA dramatically reduces overhead by updating only a few low-rank adapters. However, Multi-tenant LoRA LLM inference faces challenges from heterogeneous requests and latency-throughput trade-offs. Moreover, inefficient adapter reuse, poor cache management, and non-adaptive batching strategies severely restrict inference efficiency, service quality, resource utilization, and fairness. To address these challenges, we propose CoLoRA-a collaborative scheduling framework for multi-tenant LoRA LLM inference, comprising four core modules: (1) Adaptive Priority Scheduling (APS), which dynamically integrates queue waiting time, adapter residency status, and SLA urgency to compute task priorities; (2) Adapter-Aware Scheduling (AAS), which enhances cache management by prioritizing SLA-critical, frequently used, and fairly shared adapters, thus reducing cold-start latency and fragmentation; (3) Load-Aware Batch Scheduling (LBS), which combines real-time GPU utilization and queue depth to adaptively form batches and coalesce tasks targeting the same adapter, thereby improving parallelism while controlling latency; and (4) Unified Scheduler (US), which periodically gathers system metadata to orchestrate the submodules collaboratively and employs a feedback loop to optimize global strategies online. Evaluation on realistic multi-tenant workloads and popular open-source LLM shows that CoLoRA, compared to conventional baselines, increases overall system throughput by 56.5%, reduces P95 latency of online requests by 34%, and significantly enhances GPU utilization and tenant-level fairness, demonstrating its promise for large-scale inference services."
D2MoRA: Diversity-Regulated Asymmetric MoE-LoRA Decomposition for Efficient Multi-Task Adaptation,2026,WoS,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 34","Low-Rank Adaptation (LoRA) has emerged as a powerful parameter-efficient fine-tuning method for adapting large language models to downstream tasks. Recent studies have leveraged Mixture-of-Experts (MoE) mechanism to effectively integrate multiple LoRA modules, facilitating efficient parameter adaptation for multi-task scenarios. It has been shown that fostering knowledge sharing across LoRA experts can greatly enhance parameter adaptation efficiency. However, the existing approach for LoRA expert knowledge sharing still faces two key limitations: constrained functional specialization and induced expert homogenization. To address these issues, we propose a novel diversity-regulated asymmetric MoE-LoRA decomposition framework, which achieves flexible knowledge sharing through asymmetric expert decomposition and guarantees expert diversity with a dual orthogonality regularization. Extensive experiments on eight public benchmarks, spanning both multi-task and single-task settings, demonstrate the superiority of our approach over existing methods. Code - https://github.com/softwavec/D2MoRA"
DP-DyLoRA: Fine-Tuning Transformer-Based Models On-Device under Differentially Private Federated Learning using Dynamic Low-Rank Adaptation,2026,Scopus,IEEE International Conference on Communications,"Federated learning (FL) allows clients in a communication network to collaboratively train a global model without sharing their local data with other parties. Nevertheless, clients' contributions to the server can still leak sensitive information about the underlying data. To address this, differential privacy (DP) provides formal privacy guarantees by introducing random noise into clients' contributions. However, the added noise makes it challenging to train models effectively. Recent studies have therefore attempted to alleviate this issue by leveraging parameter-efficient fine-tuning (PEFT) methods, such as Low-Rank Adaptation (LoRA), which reduce the dimensionality of clients' contributions and thereby mitigate the impact of the added noise. Despite these efforts, significant performance degradation remains a major concern. In this paper, we propose differentially private dynamic low-rank adaptation (DP-DyLoRA) to further alleviate the impact of DP noise on training effectiveness and reduce the communication overhead by dynamically updating a subset of LoRA parameters. We conduct a comprehensive evaluation of both baseline and state-of-the-art (SOTA) PEFT methods in DP-FL settings. Experimental results show that DP-DyLoRA outperforms SOTA methods by an average of 12.1% in test accuracy for a stringent privacy budget of ϵ = 2. © 2026 IEEE."
DP-HM2F: Data-driven LoRA with dual-projection representation for heterogeneous multimodal federated fine-tuning,2026,WoS,EXPERT SYSTEMS WITH APPLICATIONS,"Federated learning (FL) enables privacy-preserving fine-tuning of multimodal large language models (MLLMs) on edge devices; however, the limited computational resources of edge clients, coupled with inherent modality and data heterogeneity across clients, pose major challenges for federated multimodal fine-tuning and lead to performance degradation. To tackle these issues, we propose DP-HM2F, a data-driven LoRA framework with a dual-projection representation mechanism for heterogeneous multimodal federated fine-tuning. Specifically, DP-HM2F establishes a dual-projection architecture that exploits a global feature pool and client-specific local feature pools, where the global pool encodes privacy-agnostic shared representations and each edge client dynamically maintains a local pool to refine heterogeneous multimodal representations. The architecture enables projection-based retrieval between the global and local pools to improve representation alignment, while introducing additional computational overhead on resource-constrained devices. To mitigate this limitation, DP-HM2F integrates a data-driven LoRA module that adaptively scales the number of trainable parameters based on local data, thereby alleviating computational constraints across heterogeneous clients. Furthermore, to address semantic conflicts induced by high-dimensional representation spaces during federated aggregation, we introduce a positive-vector collaborative optimization strategy to alleviate conflicting client updates. Extensive experimental results demonstrate that DP-HM2F, with only 7.05% of trainable parameters (a 0.3% reduction compared with conventional LoRA-based methods), achieves a performance improvement of 4.1 points under heterogeneous multimodal settings."
DeCAF: Decentralized consensus-and-factorization for low-rank adaptation of foundation models,2026,WoS,NEURAL NETWORKS,"Low-Rank Adaptation (LoRA) has emerged as one of the most effective, computationally tractable fine-tuning approaches for training Vision-Language Models (VLMs) and Large Language Models (LLMs). LoRA accomplishes this by freezing the pre-trained model weights and injecting trainable low-rank matrices, allowing for efficient learning of these foundation models even on edge devices. However, LoRA in decentralized settings still remains under-explored, particularly for the theoretical underpinnings due to the lack of smoothness guarantee and model consensus interference (defined formally below). This work improves the convergence rate of decentralized LoRA (DLoRA) to match the rate of decentralized SGD by ensuring gradient smoothness. We also introduce DeCAF, a novel algorithm integrating DLoRA with truncated singular value decomposition (TSVD)-based matrix factorization to resolve consensus interference. Theoretical analysis shows TSVD's approximation error is bounded and consensus differences between DLoRA and DeCAF vanish as rank increases, yielding DeCAF's matching convergence rate. Extensive experiments across vision/language tasks demonstrate our algorithms outperform local training and rivals federated learning under both IID (independent and identically distributed) and Non-IID data."
Decentralized LoRA augmented transformer with multi-scale feature learning for secured eye diagnosis,2026,Scopus,Knowledge-Based Systems,"Accurate and privacy-preserving diagnosis of ophthalmic diseases remains a critical challenge in medical imaging, particularly given the limitations of existing deep learning models in handling data imbalance, data privacy concerns, spatial feature diversity, and clinical interpretability. This paper proposes a novel Data-efficient Image Transformer (DeiT)-based framework that integrates multiscale patch embedding, Low-Rank Adaptation (LoRA), knowledge distillation, and federated learning to address these challenges in a unified manner. The proposed model effectively captures both local and global retinal features by leveraging multi-scale patch representations with local and global attention mechanisms. LoRA integration enhances computational efficiency by reducing the number of trainable parameters, while federated learning ensures secure, decentralized training without compromising data privacy. A knowledge distillation strategy further improves generalization in data-scarce settings. Comprehensive evaluations on two benchmark datasets OCTDL and the Eye Disease Image Dataset demonstrate that the proposed framework consistently outperforms both traditional CNNs and state-of-the-art transformer architectures across key metrics, including AUC, F1 score, and precision. Furthermore, Grad-CAM＋＋visualizations provide interpretable insights into model predictions, supporting clinical trust. This work establishes a strong foundation for scalable, secure, and explainable AI applications in ophthalmic diagnostics. © 2026"
Dual-Adaptive SAM3: Hierarchical Routing over Low-Rank Expert Layers for Parameter-Efficient Medical Image Segmentation,2026,arXiv,arXiv:2607.02571,"The Segment Anything Model with Concepts (SAM3) heralds a new paradigm for open-vocabulary segmentation through natural language interaction, offering significant potential for medical image analysis. However, effectively adapting such a powerful vision-language model to the diverse and nuanced doma"
EPnG: Adaptive Expert Prune-and-Grow for Parameter-Efficient MoE Fine-tuning,2026,arXiv,arXiv:2607.01789,"Mixture-of-Experts (MoE) models scale efficiently but remain costly to adapt due to redundant experts and uniform parameter allocation. Existing parameter-efficient fine-tuning (PEFT) methods such as LoRA ignore MoE routing dynamics, leading to suboptimal resource use. We propose EPnG, an adaptive p"
Echocardiography Report Translation and Inference Based on Parameter-Efficient Fine-Tuning of LLaMA Models,2026,WoS,DIAGNOSTICS,"Background/Objectives: Echocardiography reports are essential diagnostic tools, but their complexity and specialized English terminology frequently hinder comprehension for non-specialists and patients. This study addresses these accessibility gaps by developing a resource-efficient large language model (LLM) system designed to translate and summarize English echocardiography results into Traditional Chinese. Methods: To overcome significant hardware constraints, we utilized Quantized Low-Rank Adapter (QLoRA) techniques and the Unsloth acceleration framework to fine-tune LLaMA-3.2-1B and LLaMA-3.2-3B-Instruct models on a single mid-tier GPU. The system employs a dual-stage inference architecture: the first stage provides technical medical translation for clinicians, while the second stage generates simplified, patient-centric educational summaries to enhance health literacy. Results: Evaluation across multiple metrics, including BLEU, ROUGE, METEOR, and Perplexity, demonstrated that the LLaMA-3.2-3B-Instruct model with the AdamW 8-bit optimizer achieved the most stable validation performance, excelling in semantic coherence and structural consistency. A preliminary qualitative error analysis conducted in the Discussion section further identified clinical nuances, such as terminology simplification and minor hallucinations, underscoring the critical necessity of a Human-in-the-Loop verification procedure. Conclusions: These findings validate the feasibility of deploying cutting-edge medical AI in resource-limited clinical environments. While the results reflect validation-only performance on a specialized dataset, the platform offers a scalable foundation for enhancing clinical decision support and health literacy through accessible, automated medical text processing."
Efficient Multi-Adapter LLM Serving via Cross-Model KV-Cache Reuse with Activated LoRA,2026,Scopus,Transactions on Machine Learning Research,"Modern large language model (LLM) systems increasingly rely on multi-turn pipelines that are composed of multiple task-specific adapters, yet existing serving frameworks remain inefficient, incurring substantial recomputation overhead when switching between adapters. We present the first LLM serving engine that supports cross-model prefix cache reuse between base and adapted models via Activated LoRA (aLoRA), enabling efficient and fine-grained adapter switching during inference. Our design extends the vLLM framework by introducing base-aligned block hashing and activation-aware masking within the model execution path, permitting cache reuse across models while preserving compatibility with existing serving engine optimizations. Integrated into a production-grade inference stack, this approach supports dynamic adapter activation without excessive key-value tensor recomputation. Evaluation across representative multi-turn, multi-adapter pipelines demonstrates up to 58× end-to-end latency reduction and over 100× time-to-first-token improvement relative to standard LoRA baselines, with benefits that scale with model size and sequence length and manifest across all stages of the request lifecycle. This work bridges parameter-efficient model adaptation with high-performance serving, providing the first complete realization of cross-model KV-cache reuse in modern LLM inference engines.1. © 2026, Transactions on Machine Learning Research. All rights reserved."
Efficient multi-tenant LoRA serving via SGMV-specific operator autotuning,2026,WoS,JOURNAL OF KING SAUD UNIVERSITY COMPUTER AND INFORMATION SCIENCES,"Low-Rank Adaptation (LoRA) has become a mainstream technique for fine-tuning large language models (LLMs) on downstream tasks due to its memory efficiency. However, traditional inference architectures suffer from computational redundancy and low GPU utilization when serving multi-tenant LoRA models. To address these inefficiencies, this paper presents GD2O, an SGMV-specific operator autotuning framework for multi-tenant LoRA serving. GD2O uses a graph representation to organize the construction space of the non-standard Segmented Gather Matrix-Vector Multiplication (SGMV) operator and applies a hardware-aware Markov-style stochastic search to select tiling, caching, and virtual-thread scheduling configurations. The search is used as a practical heuristic for efficient exploration, not as a formal guarantee of global optimality. The text generation experiments on Llama-2 and two GPU architectures (NVIDIA A100 and RTX 4090) demonstrate that GD2O achieves a throughput improvement of 1.29-1.52 & times; in multi-tenant LoRA serving."
Explainable multilingual NMT with adapters and mixture-of-experts: a study on low-resource Indic languages,2026,Scopus,International Journal of Speech Technology,"Multilingual Neural Machine Translation (MNMT) plays a vital role in extending language technologies to underrepresented and linguistically diverse regions. However, existing MNMT systems remain largely opaque, particularly when applied to structurally diverse and low-resource languages such as those of Northeast India. In this study, we propose an explainable MNMT framework tailored for bidirectional translation between English and six low-resource Indic languages—Assamese, Bodo, Khasi, Manipuri, Mizo, and Nepali—spanning Indo-Aryan, Tibeto-Burman, and Austroasiatic families. Our architecture employs a Transformer backbone augmented with language-conditioned adapter modules and sparsely activated Mixture-of-Experts (MoE) layers, enabling parameter sharing across languages while preserving family-specific specialization. The model was trained on curated parallel corpora with back-translation augmentation, achieving strong BLEU scores of 29.1 for Assamese and 26.1 for Nepali. To improve transparency, we integrated complementary post-hoc interpretability techniques—attention visualization, SHAP, and LIME—providing token-level and layer-wise explanations of translation decisions. Both quantitative and qualitative analyses show that these interpretability tools effectively diagnose translation challenges, reveal systematic biases, and elucidate failure modes, particularly for data-scarce languages such as Khasi and Mizo. Our results demonstrate that combining adapters, MoE-based specialization, and explainability can advance both the performance and trustworthiness of MNMT for low-resource Indic languages. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2026."
Exploring Backdoor Attacks in Federated Learning Under Parameter-Efficient Fine Tuning,2026,WoS,"INFORMATION SECURITY, ISC 2025","With the rapid development of pre-trained language models, data privacy has become a critical concern. Federated ParameterEfficient Fine-Tuning has emerged as an effective solution, preserving privacy while controlling computational and communication costs. However, the joint participation of data owners in the training process makes it vulnerable to backdoor attacks, which drives our focus on backdoor attacks in the Federated Parameter-Efficient Fine-Tuning. Experiments show that using efficient fine-tuning methods to freeze a large number of parameters does impact the success rate of backdoor attacks. Specifically, when parts near the output layer are frozen, the success rate of the backdoor attack significantly decreases, while the main task still converges normally. Based on these findings, we propose a new backdoor attack method: Frozen Layer Adversarial Sample-based Enhancement method. This method first generates adversarial examples that manipulate the output of frozen layers to target a specific class. Then, the trainable parameters are fine-tuned to generate these adversarial examples when backdoor data is input. Our experiments on GLUE text classification and CIFAR-10 image classification demonstrate that even when the server freezes parameters near the output layer, our method ensures a high success rate for backdoor attacks while maintaining stealth."
FLAGuard: Efficient Verifiable Federated LoRA of Large Language Models,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING,"Federated fine-tuning efficiently adapts large pre-trained models to new tasks by using additional data while minimizing re-training costs. This approach enhances data privacy and reduces computational demands but relies on a central server, often cloud-based, which is vulnerable to adversarial attacks that can compromise the aggregation process. We propose FLAGuard, a novel and efficient verification scheme that specifically addresses these challenges in federated Low-Rank Adaptation (LoRA) settings. FLAGuard is the first to introduce a two-stage verification process specifically designed for LoRA-based aggregation. In the first stage, the scheme independently verifies the correctness of the aggregated A and B matrices. In the second stage, it verifies the multiplication result of the aggregated A and B matrices, ensuring the correctness of the final LoRA parameters. Additionally, we introduce the Iterative Gradient Sampling and Convolutional Compression (IGSCC) technique, which combines probabilistic sampling with convolutional operations to efficiently reduce the dimensionality of gradient matrices. This enables secure verification without sacrificing model performance. Our comprehensive security analysis of FLAGuard further establishes its reliability in federated learning environments. Extensive experimental results demonstrate that FLAGuard achieves over a 100 & times; speedup in the aggregation verification phase and reduces communication overhead by more than 50% compared to state-of-the-art methods."
FORCE: Federated Orthogonality-Aware Low-Rank Adaptation for Communication-Efficient Fine-Tuning,2026,WoS,IEEE NETWORKING LETTERS,"Federated fine-tuning of Large Language Models (LLMs) is fundamentally bottlenecked by the uplink communication capacity of edge networks. While Parameter-Efficient Fine-Tuning (PEFT) methods such as Low-Rank Adaptation (LoRA) reduce the payload by representing a dense d & times; k update with rank-r factors, they may suffer from subspace interference when aggregated across highly heterogeneous clients. In this letter, we propose FORCE, a communication-efficient federated adaptation framework. Inspired by the philosophy of magnitude-direction decoupling, FORCE introduces a local ""project-and-compress"" geometric heuristic. Rather than transmitting dense orthogonal matrices, clients apply a lightweight 1-step gradient correction to align their low-rank updates toward an approximate orthonormal target before server aggregation, while preserving the O(r(d+k)) low-rank communication budget. Empirical results demonstrate that FORCE safely preserves model capacity in balanced networks and significantly mitigates performance degradation."
FedDLPD: An efficient personalized federated intrusion detection framework for IIoT via dynamic low-rank parameter decoupling,2027,Scopus,Future Generation Computer Systems,"Federated Learning (FL) provides a data-local collaborative paradigm for intrusion detection in the Industrial Internet of Things (IIoT). However, severe non-independent and non-identically distributed (non-IID) traffic, local class imbalance, and constrained edge resources make it difficult for a single global model to balance generalization, personalization, and efficiency. This paper proposes FedDLPD, an efficient personalized federated intrusion detection framework based on dynamic low-rank parameter decoupling. Instead of directly aggregating raw local updates, FedDLPD generates bias-filtered shared-side updates after private low-rank adaptation. Each client first uses a private low-rank adapter to model local traffic deviations, and then optimizes the shared-side variable under the adapted local context. The resulting shared-side update is the only model-scale object uploaded, together with a scalar loss statistic used for rank scheduling, while the private adapter remains local. FedDLPD further introduces a global–group–local parameterization with explicit communication boundaries. The global backbone captures transferable detection knowledge, the server-maintained group residual models structured deviations among similar clients, and the private adapter preserves non-shareable local shifts. A heterogeneity-aware rank scheduling strategy is also designed to allocate bounded personalization capacity to different clients. Experiments on CIC-IDS2017 and N-BaIoT under non-IID and class-imbalanced settings show that FedDLPD achieves consistently higher mean performance than general FL, personalized FL, lightweight FL, and IDS-oriented FL baselines. Ablation and sensitivity studies quantify the contributions of the major design components, while client-level ROC-AUC/PR-AUC and system-overhead analyses evaluate robustness and efficiency under heterogeneous clients. © 2026 Published by Elsevier B.V."
FedGSA: Geometry-Consistent Subspace Aggregation for Differentially Private Federated LoRA,2026,arXiv,arXiv:2608.03267,"Low-Rank Adaptation (LoRA) enables communication-efficient federated fine-tuning of pretrained language models. However, integrating differential privacy (DP) into federated LoRA remains challenging: independently perturbing and aggregating its two low-rank matrices can cause aggregation mismatch an"
FedLoDrop: Federated LoRA With Dropout for Generalized LLM Fine-Tuning,2026,WoS,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,"Fine-tuning (FT) large language models (LLMs) is crucial for adapting general-purpose models to specific tasks, enhancing accuracy and relevance with minimal resources. To further enhance generalization ability while reducing training costs, this paper proposes Federated LoRA with Dropout (FedLoDrop), a new framework that applies dropout to the rows and columns of the trainable matrix in Federated LoRA. A generalization error bound and convergence analysis under sparsity regularization are obtained, which elucidate the fundamental trade-off between underfitting and overfitting. The error bound reveals that a higher dropout rate increases model sparsity, thereby lowering the upper bound of pointwise hypothesis stability (PHS). While this reduces the gap between empirical and generalization errors, it also incurs a higher empirical error, which, together with the gap, determines the overall generalization error. On the other hand, though dropout reduces communication costs, deploying FedLoDrop at the network edge still faces challenges due to limited network resources. To address this issue, an optimization problem is formulated to minimize the upper bound of the generalization error, by jointly optimizing the dropout rate and resource allocation subject to the latency and per-device energy consumption constraints. To solve this problem, a branch-and-bound (B&B)-based method is proposed to obtain its globally optimal solution. Moreover, to reduce the high computational complexity of the B&B-based method, a penalized successive convex approximation (P-SCA)-based algorithm is proposed to efficiently obtain its high-quality suboptimal solution. Finally, numerical results demonstrate the effectiveness of the proposed approach in mitigating overfitting and improving the generalization capability."
FedMosaic: Federated Retrieval-Augmented Generation via Parametric Adapters,2026,Scopus,SIGIR 2026 - Proceedings of the 49th International ACM SIGIR Conference on Research and Development in Information Retrieval,"Retrieval-Augmented Generation (RAG) enhances Large Language Models (LLMs) by grounding generation in external knowledge to improve factuality and reduce hallucinations. Yet most deployments assume a centralized corpus, which is infeasible in privacy-aware domains where knowledge remains siloed. This motivates federated RAG (FedRAG), where a central LLM server collaborates with distributed silos without sharing raw documents. In-context RAG violates this requirement by transmitting verbatim documents, whereas parametric RAG encodes documents into light weight adapters that merge with a frozen LLM at inference, avoiding raw-text exchange. We adopt the parametric approach but face two unique challenges induced by FedRAG: high storage and communication from per-document adapters, and destructive aggregation caused by indiscriminately merging multiple adapters. We present FedMosaic, the first federated RAG framework built on parametric adapters. FedMosaic clusters semantically related documents into multi-document adapters with document-specific masks to reduce overhead while preserving specificity, and performs selective adapter aggregation to combine only relevance-aligned, non-conflicting adapters. Experiments show that FedMosaic achieves an average 10.9% higher accuracy than state-of-the-art methods in four categories, while lowering storage costs by 78.8% to 86.3% and communication costs by 91.4%, and never sharing raw documents. © 2026 Owner/Author."
FedP2EFT: Federated Learning to Personalize PEFT for Multilingual LLMs,2026,WoS,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 27","Federated learning (FL) has enabled training of multilingual large language models (LLMs) on diverse and decentralized multilingual data, especially on low-resource languages. To improve client-specific performance, personalization via the use of parameter-efficient fine-tuning (PEFT) modules such as LoRA is common. This involves a personalization strategy (PS), such as the design of the PEFT adapter structures (e.g., in which layers to add LoRAs and what ranks) and choice of hyperparameters (e.g., learning rates) for fine-tuning. Instead of manual PS configuration, we propose FedP(2)EFT, a federated learning-to-personalize method for multilingual LLMs in cross-device FL settings. Unlike most existing PEFT structure selection methods, which are prone to overfitting low-data regimes, FedP(2)EFT collaboratively learns the optimal personalized PEFT structure for each client via Bayesian sparse rank selection. Evaluations on both simulated and real-world multilingual FL benchmarks demonstrate that FedP(2)EFT largely outperforms"
FedQuad: Adaptive Layer-Wise LoRA Deployment and Activation Quantization for Federated Fine-Tuning,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING,"Federated fine-tuning (FedFT) provides an effective paradigm for fine-tuning large language models (LLMs) in privacy-sensitive scenarios. However, practical deployment remains challenging due to the limited resources on end devices. Existing methods typically utilize parameter-efficient fine-tuning (PEFT) techniques, such as Low-Rank Adaptation (LoRA), to substantially reduce communication overhead. Nevertheless, significant memory usage for activation storage and computational demands from full backpropagation remain major barriers to efficient deployment on resource-constrained end devices. Moreover, substantial resource heterogeneity across devices results in severe synchronization bottlenecks, diminishing the overall fine-tuning efficiency. To address these issues, we propose FedQuad, a novel LoRA-based FedFT framework that adaptively adjusts the LoRA depth (the number of consecutive tunable LoRA layers from the output) according to devices' computational power, while employing activation quantization to reduce memory overhead, thereby enabling efficient deployment on resource-constrained devices. Specifically, FedQuad first identifies the feasible and efficient combinations of LoRA depth and the number of activation quantization layers based on device-specific resource constraints. Subsequently, FedQuad employs a greedy strategy to select the optimal configurations for each device, effectively accommodating system heterogeneity. Extensive experiments demonstrate that FedQuad achieves a 1.4-5.3 & times; convergence acceleration compared to state-of-the-art baselines when reaching target accuracy, highlighting its efficiency and deployability in resource-constrained and heterogeneous end-device environments."
FedWeave: Rethinking the Unit of Specialization in Heterogeneous Federated MoE-LoRA,2026,arXiv,arXiv:2607.26618,"Federated PEFT enables LLMs to collaboratively adapt to decentralized private data without sharing raw examples. However, task heterogeneity across clients can cause cross-task interference and gradient conflicts during aggregation. Federated MoE-LoRA addresses this challenge through specialized LoR"
Federated Adapter Learning Under Energy Constraints for Generative Personalization in Consumer Electronics Networks for IoV Deployments,2026,Scopus,IEEE Transactions on Consumer Electronics,"The Internet of Vehicles (IoV) provides a deployment environment for connected consumer electronics networks, including in-cabin assistants, telematics devices, and roadside electronics that support cooperative perception. Training or adapting generative models in this setting is constrained by private local data, limited energy budgets, tight communication links, and mobility-induced intermittency. This paper proposes EAFedGen, an energy-constrained federated learning framework that combines a shared generative backbone with per-device low-rank adapters and a dual controller for adapter rank and update sparsity. We formulate the training problem as a bilevel optimization with device-level energy constraints and analyze adapter stability, inexact inner adaptation, convergence under compression and optional differential privacy noise, and training behavior under participation and staleness effects. Experiments on V2X-Sim 2.0 BEV maps, V2X-Sim v1.0-mini BEV occupancy, and V2X-Sim 2.0-mini LiDAR BEV occupancy treat BEV completion as conditional generation. The experimental results characterize the communication-quality operating region induced by personalized adapters and dual energy control, and they show that attention-weighted latent fusion is the strongest learned cooperative strategy among the tested fusion schemes. © 1975-2011 IEEE."
Federated LoRA Adaptation of BiomedCLIP Across Four International Chest X-Ray Cohorts,2026,arXiv,arXiv:2609.02101,"Federated learning (FL) lets institutions train a shared model without exchanging data, and Low-Rank Adaptation (LoRA) makes this practical at scale by communicating only compact low-rank updates. Biomedical imaging is a compelling setting for this combination: patient data are archived behind priva"
Federated LoRA Fine-Tuning for LLMs via Collaborative Alignment,2026,arXiv,arXiv:2605.21217,"Low-rank adaptation (LoRA) has emerged as a powerful tool for parameter-efficient fine-tuning of large language models (LLMs). This paper studies LoRA under a federated learning setting, enabling collaborative fine-tuning across clients while preserving parameter efficiency. We focus on a highly het"
Federated LoRA Fine-Tuning of LLMs With Only Transmitting Matrix A or B,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING,"Recent advancements in large language models (LLMs) have been largely driven by vast amounts of training data. As public data are exhausted, fine-tuning LLMs with private data has become increasingly important. However, due to privacy concerns associated with sensitive data, traditional centralized training approaches are not feasible. Federated learning (FL) offers a promising solution, as it enables collaborative model training across multiple mobile devices without data exchange. Nevertheless, it is challenging to fine-tune LLMs with FL on resource-constrained and heterogeneous clients. To reduce the cost, we employ Low-Rank Adaptation (LoRA) for efficient fine-tuning. Existing federated LoRA fine-tuning methods suffer from inaccurate aggregation, and the resulting noise may lead to performance loss that may be more severe for LLMs. In this paper, we propose a novel method, FedOTAB, to mitigate this issue. FedOTAB first correctly aggregates all local LoRA modules and then fixes the matrix A or B to optimize the corresponding best approximate matrix B* or A* for each local LoRA module by minimizing the induced noise. In addition, we design a mechanism to freeze the matrices A and B alternately to stabilize optimization. By transmitting only the updated part, that is, half of the LoRA module, FedOTAB enjoys favorable communication efficiency. By explicitly splitting LoRA into local and global parts, FedOTAB effectively integrates both local and global knowledge. Extensive experiments demonstrate that FedOTAB excels in both homogeneous and heterogeneous rank scenarios, consistently outperforms state-of-the-art methods with remarkably low communication and computational overhead. We hope that this work provides valuable insights for federated LoRA fine-tuning, offering a practical and scalable solution to fine-tuning large models in mobile environments."
